m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,ticks
27.735022,-2.4985428,44.397614,11.464607,-0.98800606,-0.092491895,1.490246,23.041111,-17.963665,-13.6968,12.734604,0.72748375,-0.90803194,1.0994458,17.640656,-4.1798897,19.359177,-33.96611,-2.9575424,-1.5603848,-0.3247652,177
13.792953,-29.284079,42.378,21.619934,-1.9873201,1.6366386,1.4550437,26.996223,-10.502697,-8.544254,25.042099,1.3554565,-0.8354232,-0.13805437,29.584957,-42.182182,-37.825966,29.480309,-3.1590319,0.59247684,1.4815664,46
24.129368,-0.07530975,19.970467,-17.843582,-0.89165145,0.7354663,-1.1058896,29.224312,-42.355408,-43.82817,49.11338,-0.6465112,-1.983938,0.71943706,18.953114,25.654907,48.010674,2.5513992,0.117929265,-0.20165418,0.020173658,458
17.515423,28.27259,-14.541573,21.817947,1.231108,-2.2037356,1.350183,12.337246,-38.288868,-8.573566,-48.75147,-1.879283,0.6408646,-1.4629291,26.672676,39.10428,47.20459,19.65509,-0.16942105,0.18780696,-0.47810337,4242
27.929733,-49.217278,20.789429,2.902996,-0.07051211,0.11290671,0.13035585,11.670473,0.9357033,-3.0006409,-31.600212,-3.413651,0.0052876472,4.2083845,19.065119,-14.002018,-5.866398,-36.016228,-1.2888508,2.3316689,0.8273513,14
21.908161,2.6354294,32.18444,-31.680202,-1.591993,0.22538485,0.53555954,19.022783,44.233047,27.61486,41.1764,-0.18473212,0.11476105,-0.12425915,27.73189,42.89376,-0.11268234,-25.754398,0.7405641,-0.15543276,1.2684947,23
29.662025,35.676575,23.100906,-21.95567,-0.094063185,-0.13920897,-0.058033157,19.623333,-16.752918,11.992283,7.0454254,1.1896237,2.82312,-0.108685434,17.36507,22.01661,-10.679066,-8.816059,1.2981987,-3.1650095,1.2773185,2663
26.994402,-15.745171,10.330933,34.386047,-0.54471326,0.6164794,0.4123313,10.896526,-18.5341,3.304718,-37.000557,1.4360933,1.4485569,1.2127867,12.263175,-46.428673,19.964966,-36.823265,-0.11368726,0.88016117,-0.14759721,315
27.574774,40.870926,9.674721,-39.489956,1.7909068,1.542366,-1.224106,18.559166,-26.396679,-46.92975,15.4254,-0.86381644,0.9136292,-0.25268468,23.56279,-39.999672,12.064125,-29.934448,0.7874339,-1.1757114,-0.08526902,206
18.19441,-32.45408,-39.291153,-40.702965,0.08423713,0.09368378,0.07051832,12.582682,25.211823,12.563515,-45.893806,-0.018774033,-1.4441533,1.2119026,23.602203,42.971573,-1.6697464,46.963844,0.0042811944,-0.19337797,-0.19833294,45
22.699541,-49.50734,-24.849575,27.285477,0.4724477,0.57804465,-0.93558884,21.936052,-0.17655945,2.388836,-32.89411,-1.806387,-1.0798517,-0.6992622,22.088127,-16.892307,40.860695,-30.176323,2.027366,0.04901332,-2.8448544,293
15.623394,-48.687508,-45.36387,-27.091724,-1.4865065,-1.3889288,-0.112552375,16.427647,-0.5157356,0.026309967,-46.690796,1.052475,0.251935,-1.3195376,21.766016,-40.90329,25.840927,32.66404,-1.470923,1.0458491,0.8011799,5370
28.393175,35.532394,42.884865,17.207901,0.6986213,1.01056,0.97318655,15.169542,-35.17015,-24.216122,41.285942,0.60091245,-0.687034,-0.7811422,17.998344,-11.45343,-45.575703,-20.639133,0.5814864,-0.0025932079,0.50789636,23
29.283848,-41.844048,19.582397,7.4970436,-1.6768532,2.864235,0.7412858,15.577299,26.05867,-30.660534,-15.515507,-0.09320783,1.1056856,-1.1908429,24.052032,0.9033928,40.40934,-26.71408,-0.12533662,0.22844543,-0.2965623,108
20.281914,-1.8033524,-14.833702,34.145645,-0.4440947,0.7500939,-1.3838137,29.877502,38.244217,-29.7997,41.971985,1.8273801,-0.28408498,-1.9658494,20.17965,-14.6110115,27.990028,-48.31988,2.3334656,-0.6598635,0.20129156,32
12.049743,10.116142,1.8895683,-13.854897,-0.21989372,0.48203143,0.44593447,17.261166,45.472183,-0.60741425,9.934216,-0.10425472,-1.2163067,-2.0128756,28.688065,-3.2145615,39.215675,-46.056355,1.429706,-0.2530067,0.5567268,17
15.526401,43.423584,-41.71844,-22.049623,1.5685661,-0.8417076,1.432358,16.115438,-33.211266,-42.775684,-47.66574,-1.2398599,-1.8925191,0.87191135,21.829151,-39.959816,-41.447166,6.9352684,1.8309888,-0.11655475,0.31570837,383
14.539332,12.265949,46.59278,-10.478981,4.8696938,-2.8758307,1.2917943,23.152382,31.332924,-10.553921,5.4269257,-0.9958639,1.8630576,0.6811185,23.691341,19.59726,46.394836,-4.9186516,1.8778191,-2.8679466,-2.756784,1
27.360443,13.740002,44.05188,-3.4278145,0.10916629,-0.111009136,0.6680002,19.824072,-34.148796,3.8720665,48.68656,-0.9963663,-1.3821306,0.858888,21.350574,-40.440086,29.645645,-28.800892,-1.6202383,-0.44886684,-1.6177697,63
24.025963,-27.091099,-43.24431,-16.132248,-0.7968854,0.6637294,0.7440239,17.545765,10.02319,-9.2127495,-43.49317,0.42875555,-0.5385276,0.37319365,11.956083,-19.525497,17.141716,-34.395508,1.381723,1.5559932,1.3613026,29
19.977854,-28.733498,-15.654404,-3.5978127,-1.1606145,-2.3370824,-0.14742301,19.023489,-1.458107,7.025696,4.183132,-1.8879766,-2.0698988,-1.6185915,29.865,23.396751,22.991386,29.369682,-2.5510602,0.46735117,0.8977636,13
