m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
29.09602,27.888802,-45.904995,-41.358833,0.49120432,-0.19729061,1.2688823,12.09749,-22.169525,-34.177147,2.4723167,-0.8394264,1.3938396,0.32983512,18.923775,-29.284842,-13.095219,27.980873,2.1507282,-1.5974796,-0.7676229,1.4605993,-37.053406,11.865294,-0.31903934,0.19802405,0.45301345,58.693295,-44.795673,1.8664559,3.900166,4.0363073,1.5587378,52.415897,-59.44947,1.1164354,0.36660832,-3.8945541,-0.29880357,783
13.069695,18.332329,-6.492401,-0.9316025,0.8536098,-0.82507545,-0.5026663,10.359615,32.787964,-6.9395676,17.731682,1.4114898,0.51632494,1.1891218,15.974287,-45.67666,26.141846,-9.105347,1.0086178,-1.0529422,-1.4027407,96.36549,-68.58848,-74.9845,2.2730217,-1.7505721,-0.84344614,93.10243,-31.856956,-17.66687,-0.9109204,0.3188578,-1.2518469,109.53879,-44.04904,-28.22832,1.3534242,-0.16766503,0.4590897,1969
14.811422,41.032814,18.992668,40.364685,0.6053262,-0.4972697,0.26905683,26.609007,45.157555,-20.301783,37.615326,-0.02221327,-1.7628123,-0.2979866,13.452897,-36.750694,19.646286,44.60862,1.1638101,0.2490424,1.3677306,255.74643,-436.26462,174.23552,0.97631043,-0.8723009,1.793976,263.17462,-461.03915,178.82086,0.66318744,-1.4963098,-1.0081627,188.79675,-499.96396,155.20175,-0.600311,0.13480464,1.0935007,10000
11.917109,-41.131866,28.70607,-9.958004,0.9878398,-0.23126237,-0.5432776,25.920643,47.083466,-12.425369,40.511795,-0.7427387,-0.34171933,0.5810135,20.820927,-45.285023,-31.074184,48.518547,-0.51336706,-0.50557345,0.22662875,-125.42803,-187.86267,109.072136,2.979065,-2.796363,-2.055126,-195.44806,-211.2422,185.9316,-0.83173823,-0.34997508,-0.072137445,-131.41557,-191.28539,118.85247,-1.5422785,0.972868,1.9050819,10000
10.617667,-1.0703583,0.4846344,-6.3508377,2.4819043,-1.869722,2.5039866,21.058155,11.136906,-11.740757,-35.19637,3.0922146,-2.9688358,-3.083787,25.288324,10.115742,-9.632759,-35.872612,-0.51215553,-2.974074,-1.2902312,0.44264913,-0.66084063,-4.9117093,2.5576165,-1.9463966,2.2970402,8.542616,-10.058109,-36.765644,-4.1254983,0.67598647,-1.493128,13.503725,-14.291784,-36.85417,5.466408,-5.977006,-2.5279193,12
29.179165,-0.7896652,27.059746,-8.314575,0.7507077,-1.6198308,-2.1534104,23.97411,-23.721552,-12.17915,36.67225,-0.6556692,-4.689703,2.720584,27.598436,-17.227085,-20.331007,25.043732,-2.0382595,-0.86601305,0.8711529,10.407129,-41.52302,-52.041332,0.117010735,-2.463645,-0.95540565,-60.280235,-83.099,76.85962,-0.4371607,-4.081031,2.2905972,-53.545208,-92.43975,66.05418,-1.5580804,-0.5026084,-0.021948084,620
13.718525,-25.391466,-15.168743,-10.158276,2.038718,-0.26992553,-2.4085305,13.154393,-23.593653,24.805466,19.428452,-0.14065662,-0.15947284,1.2506549,16.300117,1.575695,-33.90136,7.6308784,-0.884834,-0.9062485,-1.0051063,32.84654,-91.47058,-107.00116,18.142405,1.7604,1.1061907,24.041279,-80.268555,-148.53004,0.9582266,1.4898177,-0.48872337,31.678953,-91.68644,-106.76897,-15.324852,-3.9460118,-2.5594676,3277
24.296902,32.218513,40.043877,42.890045,0.53962755,0.19430923,2.4216585,24.445404,-21.181393,16.389359,7.522148,1.3199645,0.0067685465,-1.3584113,18.315414,-9.089027,-27.526987,44.014816,0.21381183,0.7376959,-0.9641664,289.72922,68.259674,123.484665,0.7897378,0.26018134,-0.7598273,417.36227,200.91331,59.975456,1.7206291,-1.1856738,0.9600666,409.69006,191.00883,84.74398,-0.65274477,2.2418547,0.16188975,10000
19.771145,5.9700966,-12.63047,-15.209206,0.5998173,1.3206811,0.22807693,12.064199,-38.29551,-35.88691,0.17077255,-0.4942164,-0.6616048,-0.39568904,10.294531,-36.816017,-3.5439835,-1.0022659,-0.122020826,-0.0444053,-0.082216054,-7.5770154,-4.642168,-14.277838,101.09153,-103.80585,19.651503,-7.4717407,-4.742794,-14.255278,-163.4745,171.93727,-33.01128,-28.641382,14.2280035,9.739932,-2.1240234,-0.4130973,0.83648807,811
18.458563,46.139374,-24.442095,13.856113,0.32413334,-1.0618773,1.1133649,28.550285,43.15622,35.570404,-45.235626,1.370996,-1.7978996,-1.3172823,25.883276,-0.687809,43.13247,33.699173,-0.21715698,-1.6315007,-0.16832326,74.59351,-137.29695,20.000378,-0.766649,-0.44413704,-0.21150729,109.666084,-183.40987,-70.28414,1.7856116,-3.344974,-1.653843,90.63977,-164.71967,-43.327396,0.1033902,-0.3655573,1.1477437,2424
